,reward
784,-303.0
785,-1.0
786,-115.0
787,-202.0
788,-98.0
789,-109.0
790,-302.0
791,-312.0
792,-105.0
793,-304.0
794,-110.0
795,-8.0
796,-204.0
797,0.0
798,-304.0
799,-11.0
800,-2.0
801,-101.0
802,0.0
803,1.0
804,3.0
805,-104.0
806,1.0
807,-96.0
808,-297.0
809,-309.0
810,-99.0
811,-299.0
812,-221.0
813,-203.0
814,2.0
815,3.0
816,-100.0
817,3.0
818,-96.0
819,0.0
820,-207.0
821,-105.0
822,-100.0
823,1.0
824,-111.0
825,-101.0
826,0.0
827,0.0
828,1.0
829,0.0
830,3.0
831,-209.0
832,0.0
833,-101.0
834,-213.0
835,-106.0
836,-199.0
837,-1.0
838,-103.0
839,-2.0
840,-1.0
841,-1.0
842,-1.0
843,1.0
844,-6.0
845,-201.0
846,-106.0
847,1.0
848,-112.0
849,-403.0
850,-204.0
851,-4.0
852,-199.0
853,-305.0
854,0.0
855,-5.0
856,3.0
857,-305.0
858,-300.0
859,-99.0
860,-103.0
861,-108.0
862,-4.0
863,-8.0
864,-2.0
865,-1.0
866,2.0
867,0.0
868,3.0
869,0.0
870,3.0
871,-101.0
872,2.0
873,-3.0
874,-99.0
875,-98.0
876,-308.0
877,0.0
878,-100.0
879,-4.0
880,0.0
881,-3.0
882,3.0
883,-199.0
884,-100.0
885,1.0
886,2.0
887,-1.0
888,-99.0
889,2.0
890,-501.0
891,1.0
892,2.0
893,-314.0
894,3.0
895,-98.0
896,3.0
897,0.0
898,-302.0
899,-99.0
900,1.0
901,3.0
902,-98.0
903,1.0
904,-7.0
905,-5.0
906,3.0
907,0.0
908,-98.0
909,-106.0
910,-103.0
911,3.0
912,-299.0
913,2.0
914,-203.0
915,-98.0
916,-4.0
917,0.0
918,-7.0
919,-199.0
920,-107.0
921,0.0
922,2.0
923,-102.0
924,-100.0
925,-197.0
926,-107.0
927,-299.0
928,-97.0
929,-96.0
930,-102.0
931,-102.0
932,-305.0
933,-109.0
934,-98.0
935,-1.0
936,-103.0
937,3.0
938,-298.0
939,-302.0
940,1.0
941,3.0
942,-197.0
943,-213.0
944,0.0
945,-7.0
946,-208.0
947,-96.0
948,-203.0
949,-199.0
950,-1.0
951,-1.0
952,0.0
953,3.0
954,-395.0
955,-1.0
956,0.0
957,3.0
958,-97.0
959,-100.0
960,-204.0
961,-106.0
962,2.0
963,0.0
964,2.0
965,-199.0
966,3.0
967,-99.0
968,3.0
969,-1.0
970,0.0
971,-200.0
972,-104.0
973,2.0
974,-105.0
975,0.0
976,-99.0
977,2.0
978,0.0
979,3.0
980,1.0
981,3.0
982,3.0
983,-300.0
984,-96.0
985,2.0
986,-1.0
987,-1.0
988,-3.0
989,-198.0
990,0.0
991,-605.0
992,-1.0
993,-102.0
994,2.0
995,1.0
996,-6.0
997,1.0
998,-1.0
999,-101.0
