,reward
918,3.0
919,1.0
920,-7.0
921,1.0
922,-15.0
923,-9.0
924,3.0
925,-13.0
926,-3.0
927,1.0
928,-1.0
929,1.0
930,1.0
931,3.0
932,-3.0
933,-1.0
934,-1.0
935,1.0
936,1.0
937,-5.0
938,-25.0
939,-9.0
940,-11.0
941,-1.0
942,3.0
943,-3.0
944,1.0
945,-5.0
946,-7.0
947,1.0
948,1.0
949,1.0
950,1.0
951,1.0
952,1.0
953,3.0
954,3.0
955,-1.0
956,1.0
957,1.0
958,3.0
959,3.0
960,1.0
961,-3.0
962,-49.0
963,-9.0
964,3.0
965,3.0
966,1.0
967,-1.0
968,-3.0
969,1.0
970,1.0
971,-3.0
972,-1.0
973,3.0
974,-15.0
975,-3.0
976,-13.0
977,1.0
978,1.0
979,-7.0
980,-1.0
981,-9.0
982,3.0
983,3.0
984,3.0
985,-1.0
986,3.0
987,-5.0
988,1.0
989,-3.0
990,-1.0
991,-9.0
992,1.0
993,-3.0
994,-17.0
995,-23.0
996,3.0
997,1.0
998,1.0
999,-7.0
